yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,Wlratio,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2019,NL,ARI,ARI,W,2,162,81,1.103896104,85,77,N,N,N,N,813,5633,1419,288,40,220,540,1360,88,14,70,40,743,691,4.25,0,11,45,4395,1400,220,516,1427,86,136,0.986,Arizona Diamondbacks,Chase Field,2135510,101,101,ARI,ARI,ARI
2019,NL,ATL,ATL,E,1,162,81,1.492307692,97,65,Y,N,N,N,855,5560,1432,277,29,249,619,1467,89,28,60,35,743,675,4.19,1,8,44,4352,1421,203,548,1393,78,154,0.987,Atlanta Braves,SunTrust Park,2655100,105,103,ATL,ATL,ATL
2019,AL,BAL,BAL,E,5,162,81,0.5,54,108,N,N,N,N,729,5596,1379,252,25,213,462,1435,84,30,71,37,981,897,5.59,0,5,27,4329,1544,305,561,1248,108,155,0.982,Baltimore Orioles,Oriole Park at Camden Yards,1307807,99,102,BAL,BAL,BAL
2019,AL,BOS,BOS,E,3,162,81,1.076923077,84,78,N,N,N,N,901,5770,1554,345,27,245,590,1382,68,30,49,44,828,768,4.7,1,8,33,4413,1423,215,605,1633,88,115,0.985,Boston Red Sox,Fenway Park II,2924627,105,104,BOS,BOS,BOS
2019,AL,CHA,CHW,C,3,161,80,0.808988764,72,89,N,N,N,N,708,5529,1443,260,20,182,378,1549,63,28,66,32,832,769,4.9,6,7,33,4238,1438,238,582,1312,117,171,0.98,Chicago White Sox,Guaranteed Rate Field,1649775,97,99,CHW,CHA,CHA
2019,NL,CHN,CHC,C,3,162,81,1.076923077,84,78,N,N,N,N,814,5461,1378,270,26,256,581,1460,45,24,83,39,717,657,4.1,1,10,38,4326,1376,195,534,1444,118,141,0.981,Chicago Cubs,Wrigley Field,3094865,102,101,CHC,CHN,CHN
2019,NL,CIN,CIN,C,4,162,81,0.862068966,75,87,N,N,N,N,701,5450,1328,235,27,227,492,1436,80,38,89,33,711,668,4.18,0,10,46,4314,1270,214,536,1552,91,124,0.984,Cincinnati Reds,Great American Ball Park,1808685,103,103,CIN,CIN,CIN
2019,AL,CLE,CLE,C,2,162,81,1.347826087,93,69,N,N,N,N,769,5425,1354,286,18,223,563,1332,103,35,50,46,657,601,3.76,6,16,42,4313,1308,207,450,1508,83,110,0.985,Cleveland Indians,Progressive Field,1738642,104,102,CLE,CLE,CLE
2019,NL,COL,COL,W,4,162,81,0.78021978,71,91,N,N,N,N,835,5660,1502,323,41,224,489,1503,71,31,43,43,958,895,5.56,1,5,28,4346,1576,270,589,1264,97,165,0.984,Colorado Rockies,Coors Field,2993244,118,118,COL,COL,COL
2019,AL,DET,DET,C,5,161,81,0.412280702,47,114,N,N,N,N,582,5549,1333,292,41,149,391,1595,57,20,48,42,915,835,5.24,0,3,31,4299,1555,250,536,1368,110,127,0.981,Detroit Tigers,Comerica Park,1501430,102,104,DET,DET,DET
2019,AL,HOU,HOU,W,1,162,81,1.945454545,107,55,Y,N,Y,N,920,5613,1538,323,28,288,645,1166,67,27,66,57,640,595,3.66,2,14,47,4387,1205,230,448,1671,71,96,0.988,Houston Astros,Minute Maid Park,2857367,103,100,HOU,HOU,HOU
2019,AL,KCA,KCR,C,4,162,81,0.572815534,59,103,N,N,N,N,691,5496,1356,281,40,162,456,1405,117,39,59,42,869,824,5.2,1,7,37,4275,1525,221,582,1230,73,152,0.988,Kansas City Royals,Kauffman Stadium,1479659,101,102,KCR,KCA,KCA
2019,AL,LAA,ANA,W,4,162,81,0.8,72,90,N,N,N,N,769,5542,1368,268,21,220,586,1276,65,20,67,42,868,820,5.12,0,2,32,4328,1417,267,576,1404,92,118,0.984,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,3019012,98,98,LAA,ANA,ANA
2019,NL,LAN,LAD,W,1,162,81,1.892857143,106,56,Y,N,N,N,886,5493,1414,302,20,279,607,1356,57,10,81,45,613,541,3.37,3,18,44,4337,1201,185,392,1519,106,117,0.982,Los Angeles Dodgers,Dodger Stadium,3974309,96,94,LAD,LAN,LAN
2019,NL,MIA,FLA,E,5,162,81,0.542857143,57,105,N,N,N,N,615,5512,1326,265,18,146,395,1469,55,30,73,33,808,760,4.74,2,8,27,4333,1340,236,615,1378,94,135,0.984,Miami Marlins,Marlins Park,811302,94,96,MIA,FLO,MIA
2019,NL,MIL,MIL,C,2,162,81,1.219178082,89,73,N,Y,N,N,769,5542,1366,279,17,250,629,1563,101,25,72,38,766,713,4.4,0,7,50,4378,1364,225,570,1497,97,135,0.983,Milwaukee Brewers,Miller Park,2923333,101,101,MIL,ML4,MIL
2019,AL,MIN,MIN,C,1,162,81,1.655737705,101,61,Y,N,N,N,939,5732,1547,318,23,307,525,1334,28,21,81,41,754,680,4.18,1,10,50,4390,1456,198,452,1463,111,130,0.981,Minnesota Twins,Target Field,2294152,100,99,MIN,MIN,MIN
2019,AL,NYA,NYY,E,1,162,81,1.745762712,103,59,Y,N,N,N,943,5583,1493,290,17,306,569,1437,55,22,49,33,739,691,4.31,1,9,50,4329,1374,248,507,1534,102,135,0.982,New York Yankees,Yankee Stadium III,3304404,98,96,NYY,NYA,NYA
2019,NL,NYN,NYM,E,3,162,81,1.131578947,86,76,N,N,N,N,791,5624,1445,280,17,242,516,1384,56,27,95,27,737,688,4.24,3,12,38,4383,1405,204,500,1520,99,129,0.983,New York Mets,Citi Field,2442532,92,92,NYM,NYN,NYN
2019,AL,OAK,OAK,W,2,162,81,1.492307692,97,65,N,Y,N,N,845,5561,1384,292,23,257,578,1338,49,21,87,36,680,646,3.97,1,12,45,4395,1342,201,477,1299,80,122,0.987,Oakland Athletics,O.co Coliseum,1662211,95,93,OAK,OAK,OAK
2019,NL,PHI,PHI,E,4,162,81,1,81,81,N,N,N,N,774,5571,1369,311,26,215,562,1453,78,18,57,34,794,731,4.53,3,7,36,4361,1452,258,546,1392,97,136,0.984,Philadelphia Phillies,Citizens Bank Park,2727421,102,102,PHI,PHI,PHI
2019,NL,PIT,PIT,C,5,162,81,0.741935484,69,93,N,N,N,N,758,5657,1497,315,38,163,425,1213,64,29,63,34,911,829,5.18,1,6,31,4320,1511,241,584,1443,121,130,0.98,Pittsburgh Pirates,PNC Park,1491439,96,97,PIT,PIT,PIT
2019,NL,SDN,SDP,W,5,162,81,0.760869565,70,92,N,N,N,N,682,5391,1281,224,24,219,504,1581,70,37,55,31,789,732,4.6,0,6,47,4296,1394,215,463,1475,116,100,0.98,San Diego Padres,Petco Park,2396399,95,96,SDP,SDN,SDN
2019,AL,SEA,SEA,W,5,162,81,0.723404255,68,94,N,N,N,N,758,5500,1305,254,28,239,588,1581,115,47,58,37,893,798,4.99,3,4,34,4318,1484,260,505,1239,132,145,0.978,Seattle Mariners,T-Mobile Park,1791863,93,94,SEA,SEA,SEA
2019,NL,SFN,SFG,W,3,162,81,0.905882353,77,85,N,N,N,N,678,5579,1332,300,26,167,475,1435,47,28,50,42,773,715,4.38,1,8,41,4407,1395,227,519,1368,90,142,0.985,San Francisco Giants,Oracle Park,2707760,94,95,SFG,SFN,SFN
2019,NL,SLN,STL,C,1,162,81,1.281690141,91,71,Y,N,N,N,764,5449,1336,246,24,210,561,1420,116,29,76,39,662,609,3.8,1,14,52,4332,1284,191,545,1399,66,168,0.989,St. Louis Cardinals,Busch Stadium III,3480393,98,97,STL,SLN,SLN
2019,AL,TBA,TBD,E,2,162,81,1.454545455,96,66,N,Y,N,N,769,5628,1427,291,29,217,542,1493,94,37,73,34,656,598,3.65,0,12,46,4423,1274,181,453,1621,87,126,0.985,Tampa Bay Rays,Tropicana Field,1178735,97,96,TBR,TBA,TBA
2019,AL,TEX,TEX,W,3,162,81,0.928571429,78,84,N,N,N,N,810,5540,1374,296,24,223,534,1578,131,38,67,44,878,808,5.06,4,9,33,4314,1515,241,583,1379,105,143,0.982,Texas Rangers,Globe Life Park in Arlington,2132994,111,112,TEX,TEX,TEX
2019,AL,TOR,TOR,E,4,162,81,0.705263158,67,95,N,N,N,N,726,5493,1299,270,21,247,509,1514,51,20,45,28,828,767,4.79,1,7,33,4321,1450,228,604,1332,96,141,0.984,Toronto Blue Jays,Rogers Centre,1750114,97,98,TOR,TOR,TOR
2019,NL,WAS,WSN,E,2,162,81,1.347826087,93,69,N,Y,Y,Y,873,5512,1460,298,27,231,584,1308,116,29,81,42,724,683,4.27,1,13,40,4318,1340,202,517,1511,87,111,0.985,Washington Nationals,Nationals Park,2259781,106,104,WSN,MON,WAS